start,end,serial.num,test.tag,reader,site,ent (old),ent nicknames,ent (new),data in MW_PIT?,notes
8/25/20,5/15/23,1929.3116,P_999.000000007425,MAIDEN ROCK1,MAIDEN ROCK,1,main entrance,2,Y,
7/26/23,8/29/23,2032.3566,P_999.000000007429,MAIDEN ROCK1,MAIDEN ROCK,1,main entrance,2,Y,
8/29/23,7/11/24,2032.3566,P_999.000000007429,MAIDEN ROCK1,MAIDEN ROCK,1,main entrance,2,N,"*reader went down on 7/11/24, but split in cable was repaired 8/2024"
8/16/20,7/10/23,1929.3117,P_999.000000007425,MAIDEN ROCK2,MAIDEN ROCK,2,side,1,Y,
8/3/23,8/26/23,2151.4344,P_999.000000007425,MAIDEN ROCK2,MAIDEN ROCK,2,side,1,Y,
8/29/23,8/28/24,2326.5081,P_999.000000007425,MAIDEN ROCK2,MAIDEN ROCK,2,side,1,N,
10/6/21,8/30/23,2131.4183,P_999.000000007425,MAIDEN ROCK3,MAIDEN ROCK,3,pigeon alley,3,Y,
8/31/23,8/28/24,2131.4183,P_999.000000007425,MAIDEN ROCK3,MAIDEN ROCK,3,pigeon alley,3,N,
11/9/20,8/30/23,2037.3617,P_999.000000007425,MAIDEN ROCK4,MAIDEN ROCK,4,big culvert,4,Y,
8/31/23,8/28/24,2037.3617,P_999.000000007425,MAIDEN ROCK4,MAIDEN ROCK,4,big culvert,4,N,
8/24/20,7/10/23,1929.3113,P_999.000000007425,BAY CITY1,BAY CITY,1,"bunker, hill top, gate",1,Y,
12/6/23,8/28/24,2326.508,P_999.000000007425,BAY CITY1,BAY CITY,1,"bunker, hill top, gate",1,N,
8/24/20,5/25/23,1929.3114,P_999.000000007425,BAY CITY2,BAY CITY,2,"culvert, white door",2,Y,"macy: look into ""BCSecondary_2023Tag.log"" in LOGGER_ENT2 folder"
11/8/23,8/28/24,2244.4721,P_999.000000007425,BAY CITY2,BAY CITY,2,"culvert, white door",2,N,
9/2/20,11/1/23,2032.3564,P_999.000000007425,NEDA MINE1,NEDA MINE,1,culvert,1,Y,
11/2/24,8/29/24,2032.3564,P_999.000000007425,NEDA MINE1,NEDA MINE,1,culvert,1,N,
9/1/20,4/28/21,2032.3565,P_999.000000007426,NEDA MINE2,NEDA MINE,2,"bees, far",4,Y,
10/5/21,11/1/23,2131.4182,P_999.000000007425,NEDA MINE2,NEDA MINE,2,"bees, far",4,Y,
11/2/24,8/29/24,2131.4182,P_999.000000007425,NEDA MINE2,NEDA MINE,2,"bees, far",4,N,
9/2/20,11/1/23,2032.3563,P_999.000000007428,NEDA MINE4,NEDA MINE,4,"main, hole with rocks",2,Y,
11/2/24,6/8/24,2032.3563,P_999.000000007428,NEDA MINE4,NEDA MINE,4,"main, hole with rocks",2,N,"*reader went down on 6/8/24, system removed and replaced after fixing (need to identify this date)"
9/2/20,7/30/21,2032.3566,P_999.000000007429,NEDA MINE5,NEDA MINE,5,cupola ,3,Y,
8/19/21,10/3/21,2032.3565,P_999.000000007426,NEDA MINE5,NEDA MINE,5,cupola ,3,Y,
10/4/21,8/29/24,2132.42,P_999.000000007425,NEDA MINE5,NEDA MINE,5,cupola ,3,Y,
9/8/23,,,P_999.000000007425,CLINTON1,CLINTON,1,clinton,1,N,
10/23/23,,,P_999.000000007425,HAILES1,HAILES,1,hailes,1,N,
9/1/24,,,,BARTON1,BARTON,1,upper,,N,
9/1/24,,,,BARTON2,BARTON,2,lower,,N,